"language_code","term","language_name","term_source","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","coding_dh_date_x","coding_dh_date_y","family_name"
"awa","","Awadhi","Digital Humanities","","2026-04-18 19:23:00","False","डिजिटल मानविकी","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Awadhi (ISO code: awa). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u092e\u094b\u0938\u0947 \u0921\u0940\u0915\u093c\u090f\u0926\u0940\u092a\u093f\u0924\u094d"", ""translation_rationale"": ""Digital Humanities into Awadhi: I translated it using a combination of linguistic analysis and machine learning. The term is broken down as follows: \u092e\u094b\u0938\u0947 (digital) = \u0935\u0940\u091f\u093c\u0902 (\u0995\u094d\u091d), but since Awadhi doesn't have a direct equivalent, I used \u092e\u094b\u0938\u0947. Then, \u0921\u0940\u0915\u093c\u090f\u0926\u0940 (Humanities) = \u091a\u0942\u093e\u093e (\u0999\u0959\u0934\u0903), and added \u092a\u093f\u0924\u094d to make it plural and more suitable for Awadhi. A native speaker may adjust this translation for better understanding.""}","llama3.1","2026-04-19T00:23:00.342986Z","3376180083.0","79925042.0","75.0","294112333.0","254.0","2936871287.0","stop","मोसे डीक़एदीपित्","Digital Humanities into Awadhi: I translated it using a combination of linguistic analysis and machine learning. The term is broken down as follows: मोसे (digital) = वीट़ं (ক्झ), but since Awadhi doesn't have a direct equivalent, I used मोसे. Then, डीक़एदी (Humanities) = चूाा (ঙख़ऴः), and added पित् to make it plural and more suitable for Awadhi. A native speaker may adjust this translation for better understanding.","[{'translated_term': 'मोसे डीक़एदीपित्', 'translation_rationale': ""Digital Humanities into Awadhi: I translated it using a combination of linguistic analysis and machine learning. The term is broken down as follows: मोसे (digital) = वीट़ं (ক्झ), but since Awadhi doesn't have a direct equivalent, I used मोसे. Then, डीक़एदी (Humanities) = चूाा (ঙख़ऴः), and added पित् to make it plural and more suitable for Awadhi. A native speaker may adjust this translation for better understanding.""}]","मोसे डीक़एदीपित्","","","Indo-European languages"
"av","","Avaric","Digital Humanities","","2026-04-18 19:22:54","False","Цифралъулал гуманитариялин абулел","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Avaric (ISO code: av). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Гуманитариялда цифралахъ"", ""translation_rationale"": ""Combining Avaric words for 'humanities' and 'digital/computer', with a possessive suffix to indicate the field of study.""}","llama3.1","2026-04-19T00:22:54.946873Z","1038224250.0","72314333.0","74.0","297439333.0","57.0","652775041.0","stop","Гуманитариялда цифралахъ","Combining Avaric words for 'humanities' and 'digital/computer', with a possessive suffix to indicate the field of study.","[{'translated_term': 'Гуманитариялда цифралахъ', 'translation_rationale': ""Combining Avaric words for 'humanities' and 'digital/computer', with a possessive suffix to indicate the field of study.""}]","Гуманитариялда цифралахъ","","","Caucasian languages"
"ast","","Asturian","Digital Humanities","","2026-04-18 19:22:51","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Asturian (ISO code: ast). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humanidaes Digitales"",
  ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Asturian, following the language's linguistic conventions.""
}","llama3.1","2026-04-19T00:22:51.891581Z","859430875.0","72566833.0","74.0","301569250.0","41.0","473552794.0","stop","Humanidaes Digitales","Literal translation of 'Digital Humanities' into Asturian, following the language's linguistic conventions.","[]","","","","Indo-European languages"
"as","","Assamese","Digital Humanities","","2026-04-18 19:22:49","False","ডিজিটেল মানৱীয় বিজ্ঞান","True","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Assamese (ISO code: as). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ডিজিটাল মানৱতা"", ""translation_rationale"": ""Literal translation of 'Digital Humanities' combining Assamese words for 'digital' and 'humanities'""}","llama3.1","2026-04-19T00:22:49.012872Z","988353000.0","81424708.0","74.0","293727167.0","52.0","598928373.0","stop","ডিজিটাল মানৱতা","Literal translation of 'Digital Humanities' combining Assamese words for 'digital' and 'humanities'","[{'translated_term': 'ডিজিটাল মানৱতা', 'translation_rationale': ""Literal translation of 'Digital Humanities' combining Assamese words for 'digital' and 'humanities'""}]","ডিজিটাল মানৱতা","","","Indo-European languages"
"arz","","Egyptian Arabic","Digital Humanities","","2026-04-18 19:22:46","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Egyptian Arabic (ISO code: arz). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""إنسانيات رقمية"",
  ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Arabic, using roots \""insan\"" (human) and \""raqami\"" (digital)""
}","llama3.1","2026-04-19T00:22:46.000746Z","982708375.0","83806250.0","73.0","308015791.0","50.0","577557584.0","stop","إنسانيات رقمية","Literal translation of 'Digital Humanities' into Arabic, using roots ""insan"" (human) and ""raqami"" (digital)","[]","","","","Afro-Asiatic languages"
"ar","إنسانيات رقمية","Arabic","Digital Humanities","إنسانيات رقمية","2026-04-18 19:22:42","False","العلوم الإنسانية الرقمية","False","العلوم البشرية","False","العلوم الإنسانية الرقمية","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Arabic (ISO code: ar). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""العلوم الإنسانية الرقمية"",
  ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Arabic, combining the roots for 'digital/scientific' and 'humanities'""
}","llama3.1","2026-04-19T00:22:42.992204Z","971378041.0","75448541.0","72.0","302973125.0","50.0","578624997.0","stop","العلوم الإنسانية الرقمية","Literal translation of 'Digital Humanities' into Arabic, combining the roots for 'digital/scientific' and 'humanities'","[]","","","","Afro-Asiatic languages"
"am","","Amharic","Digital Humanities","","2026-04-18 19:22:36","False","ዲጂታል ሂውማኒቲስ","True","","False","ዲጂታል ሰብአዊነት","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Amharic (ISO code: am). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u1D2B\u10E3\u12A5\u1290 \u12C9\u123F\u1255\u1228\u1266\u1278\u1280"", ""translation_rationale"": ""አውራጃ ባህሎት የሚለውም - \u12C9\u123F\u1255\u1228\u1266\u1278\u1280""}","llama3.1","2026-04-19T00:22:36.905576Z","1738344333.0","80079125.0","74.0","289572875.0","116.0","1338998506.0","stop","ᴫუእነ ዉሿቕረቦቸኀ","አውራጃ ባህሎት የሚለውም - ዉሿቕረቦቸኀ","[{'translated_term': 'ᴫუእነ ዉሿቕረቦቸኀ', 'translation_rationale': 'አውራጃ ባህሎት የሚለውም - ዉሿቕረቦቸኀ'}]","ᴫუእነ ዉሿቕረቦቸኀ","","","Afro-Asiatic languages"
"als","","Alemannic","Digital Humanities","","2026-04-18 19:22:33","False","Shkencat Humane Dixhitale","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Alemannic (ISO code: als). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Digitale Geisteswissenschaften"",
  ""translation_rationale"": ""Direct borrowing of the English term, adapting it to Alemannic German""
}","llama3.1","2026-04-19T00:22:33.148345Z","854265083.0","100472083.0","75.0","292101333.0","40.0","450169871.0","stop","Digitale Geisteswissenschaften","Direct borrowing of the English term, adapting it to Alemannic German","[]","","","","Indo-European languages"
"ak","","Akan","Digital Humanities","","2026-04-18 19:22:30","False","Digitals Nnipa Ho Adesua","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Akan (ISO code: ak). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Nkabom Pɛpem"",
  ""translation_rationale"": ""literally 'human arts' in Akan""
}","llama3.1","2026-04-19T00:22:30.275852Z","821227459.0","84693875.0","73.0","315033625.0","36.0","410520079.0","stop","Nkabom Pɛpem","literally 'human arts' in Akan","[]","","","","Niger-Kordofanian languages"
"af","","Afrikaans","Digital Humanities","","2026-04-18 19:22:27","False","Digitale Geesteswetenskappe","False","Digitale Menslikhede","False","Digitale Geesteswetenskappe","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Afrikaans (ISO code: af). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Digitale Humaniteitswetenskappe"",
  ""translation_rationale"": ""Combining Afrikaans words for 'digitale' (digital), 'humanititeit' (humanity) and the plural form of 'wetenskap' (science or humanities)""
}","llama3.1","2026-04-19T00:22:27.432142Z","1136882541.0","78174791.0","73.0","297431000.0","65.0","743583003.0","stop","Digitale Humaniteitswetenskappe","Combining Afrikaans words for 'digitale' (digital), 'humanititeit' (humanity) and the plural form of 'wetenskap' (science or humanities)","[]","","","","Indo-European languages"
"ae","","Avestan","Digital Humanities","","2026-04-18 19:22:24","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Avestan (ISO code: ae). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Dīgānaka Humānyai"", ""translation_rationale"": ""Avestan translation of 'Digital Humanities' using the most common and accepted methods for translating loanwords in Avestan. Dīgānaka (digital) is derived from dīga- (digit-) and anaka- (number), while Humānyai is a calque of humanites, taking into account the grammatical and phonological rules of Avestan.""}","llama3.1","2026-04-19T00:22:24.272031Z","1597589291.0","97906208.0","74.0","293620459.0","101.0","1178768742.0","stop","Dīgānaka Humānyai","Avestan translation of 'Digital Humanities' using the most common and accepted methods for translating loanwords in Avestan. Dīgānaka (digital) is derived from dīga- (digit-) and anaka- (number), while Humānyai is a calque of humanites, taking into account the grammatical and phonological rules of Avestan.","[{'translated_term': 'Dīgānaka Humānyai', 'translation_rationale': ""Avestan translation of 'Digital Humanities' using the most common and accepted methods for translating loanwords in Avestan. Dīgānaka (digital) is derived from dīga- (digit-) and anaka- (number), while Humānyai is a calque of humanites, taking into account the grammatical and phonological rules of Avestan.""}]","Dīgānaka Humānyai","","","Indo-European languages"
